time,sensor_accX[m/s2],sensor_accY[m/s2],sensor_accZ[m/s2],label_labeling1_label11
1,-0.434052,0.241272,0.8818969999999999,x
2,-0.420944,0.228317,0.87265,x
3,-0.408905,0.220764,0.870239,x
4,-0.413803,0.213913,0.874664,x
5,-0.416245,0.215942,0.882416,x
6,-0.416824,0.213425,0.8837889999999999,x
7,-0.4159239999999999,0.207443,0.882965,x
8,-0.4139859999999999,0.208313,0.8791049999999999,x
9,-0.417572,0.212173,0.880768,x
10,-0.4230649999999999,0.217911,0.882294,x
11,-0.42395,0.221436,0.8780819999999999,x
12,-0.420502,0.224121,0.8729100000000001,x
13,-0.41568,0.230865,0.8697360000000001,x
14,-0.4143979999999999,0.244247,0.8694459999999999,x
15,-0.415039,0.249863,0.869766,x
16,-0.41156,0.242966,0.873093,x
17,-0.415756,0.228363,0.8723139999999999,x
18,-0.414871,0.229248,0.875,x
19,-0.419327,0.234085,0.88002,x
20,-0.421234,0.233826,0.8783719999999999,x
21,-0.420212,0.232315,0.873657,x
22,-0.417877,0.228867,0.875717,x
23,-0.41568,0.223557,0.876495,x
24,-0.418411,0.222778,0.8812260000000001,x
25,-0.420258,0.219498,0.883698,x
26,-0.421066,0.2216949999999999,0.883286,x
27,-0.416412,0.227554,0.873016,x
28,-0.4125979999999999,0.232407,0.8721620000000001,x
29,-0.418396,0.237366,0.871704,x
30,-0.420364,0.244125,0.865067,x
31,-0.413101,0.239319,0.8630979999999999,x
32,-0.407562,0.2316889999999999,0.8670959999999999,x
33,-0.417892,0.220856,0.8705290000000001,x
34,-0.430206,0.212875,0.867798,x
35,-0.435745,0.207611,0.876236,x
36,-0.430481,0.219131,0.8831180000000001,x
37,-0.425354,0.22316,0.884949,x
38,-0.416321,0.219849,0.8835299999999999,x
39,-0.414261,0.219635,0.886581,x
40,-0.420731,0.211777,0.8866879999999999,x
41,-0.425385,0.208832,0.88446,x
42,-0.426987,0.214859,0.8754120000000001,x
43,-0.4274439999999999,0.2307739999999999,0.8651120000000001,x
44,-0.4344939999999999,0.23085,0.869812,x
45,-0.448746,0.226257,0.8802190000000001,x
46,-0.4510189999999999,0.213715,0.881149,x
47,-0.430695,0.209869,0.874893,x
48,-0.410751,0.2263489999999999,0.8642120000000001,x
49,-0.397934,0.2473139999999999,0.854065,x
50,-0.396484,0.260742,0.8633120000000001,x
51,-0.415909,0.2457119999999999,0.87146,x
52,-0.428162,0.233398,0.866821,x
53,-0.436478,0.218033,0.871719,x
54,-0.436752,0.215439,0.874008,x
55,-0.437546,0.213486,0.873505,x
56,-0.4272,0.218933,0.8666530000000001,x
57,-0.4204859999999999,0.224899,0.866074,x
58,-0.422897,0.227142,0.882431,x
59,-0.430206,0.2270199999999999,0.877533,x
60,-0.439148,0.21933,0.856094,x
61,-0.4268649999999999,0.227325,0.8424379999999999,x
62,-0.432159,0.2191469999999999,0.8581540000000001,x
63,-0.429596,0.234131,0.865707,x
64,-0.415253,0.239838,0.8445889999999999,x
65,-0.4151609999999999,0.240601,0.8590549999999999,x
66,-0.41861,0.252731,0.865814,x
67,-0.406036,0.24028,0.870712,x
68,-0.4022219999999999,0.2226719999999999,0.875534,x
69,-0.408539,0.222031,0.8952030000000001,x
70,-0.42955,0.231857,0.906311,x
71,-0.441208,0.239075,0.892395,x
72,-0.431702,0.26413,0.882233,x
73,-0.44603,0.258499,0.849457,x
74,-0.458618,0.2388,0.856506,x
75,-0.478226,0.220123,0.857758,x
76,-0.490189,0.215378,0.847015,x
77,-0.479691,0.226883,0.841614,x
78,-0.483688,0.222015,0.848816,x
79,-0.46524,0.234802,0.868958,x
80,-0.440231,0.268417,0.8766940000000001,x
81,-0.4141689999999999,0.261734,0.905777,x
82,-0.388,0.197235,0.8556520000000001,x
83,-0.392975,0.208359,0.8744350000000001,x
84,-0.3918,0.226654,0.895676,x
85,-0.382614,0.223526,0.895676,x
86,-0.350128,0.225082,0.907074,x
87,-0.350235,0.2344969999999999,0.8808290000000001,x
88,-0.35231,0.222107,0.897919,x
89,-0.381271,0.261078,0.887634,x
90,-0.379333,0.271072,0.871658,x
91,-0.407532,0.291977,0.8972629999999999,x
92,-0.422729,0.283371,0.8600770000000001,x
93,-0.442001,0.278732,0.855759,x
94,-0.465271,0.276611,0.8687739999999999,x
95,-0.449997,0.271057,0.802078,x
96,-0.438828,0.261368,0.82814,x
97,-0.4621729999999999,0.318863,0.8465729999999999,x
98,-0.4781189999999999,0.338226,0.84285,x
99,-0.459183,0.315903,0.8410030000000001,x
100,-0.4462279999999999,0.292984,0.8675379999999999,x
101,-0.437256,0.286423,0.847748,x
102,-0.43631,0.31572,0.8538969999999999,x
103,-0.448547,0.340378,0.8374020000000001,x
104,-0.4082949999999999,0.286011,0.828735,x
105,-0.415939,0.254456,0.815338,x
106,-0.4553529999999999,0.310699,0.8303530000000001,x
107,-0.445328,0.371384,0.823792,x
108,-0.4282229999999999,0.411728,0.8303530000000001,x
109,-0.416595,0.385361,0.8171390000000001,x
110,-0.416077,0.343948,0.836319,x
111,-0.402756,0.358185,0.8718110000000001,x
112,-0.358093,0.387238,0.8906709999999999,x
113,-0.3210139999999999,0.4397279999999999,0.896332,x
114,-0.276688,0.430649,0.8962100000000001,x
115,-0.276764,0.386902,0.90419,x
116,-0.311951,0.37999,0.907516,x
117,-0.322372,0.395187,0.887131,x
118,-0.309753,0.405731,0.858032,x
119,-0.28804,0.406631,0.850922,x
120,-0.2795559999999999,0.437576,0.851059,x
121,-0.318741,0.448502,0.856476,x
122,-0.331604,0.4304659999999999,0.818863,x
123,-0.333221,0.393295,0.806,x
124,-0.324661,0.358307,0.78862,x
125,-0.321808,0.35434,0.812592,x
126,-0.335327,0.348038,0.818909,x
127,-0.335968,0.334198,0.821808,x
128,-0.340073,0.322144,0.832932,x
129,-0.352371,0.303772,0.8437959999999999,x
130,-0.351776,0.294022,0.835052,x
131,-0.355621,0.274994,0.829468,x
132,-0.333054,0.262741,0.8408200000000001,x
133,-0.330994,0.263184,0.864136,x
134,-0.330505,0.2942659999999999,0.87146,x
135,-0.327545,0.334976,0.888626,x
136,-0.309998,0.340958,0.904099,x
137,-0.335632,0.339417,0.90686,x
138,-0.361771,0.344528,0.947464,x
139,-0.375641,0.338974,0.914062,x
140,-0.414886,0.433258,0.954529,x
141,-0.394073,0.460068,0.894257,x
142,-0.403748,0.408249,0.865891,x
143,-0.394669,0.3880619999999999,0.8265530000000001,x
144,-0.401199,0.3704989999999999,0.809692,x
145,-0.380295,0.359161,0.827667,x
146,-0.371048,0.3201449999999999,0.829727,x
147,-0.353745,0.292099,0.853439,x
148,-0.327469,0.290176,0.8831180000000001,x
149,-0.302658,0.296112,0.892883,x
150,-0.287018,0.3054659999999999,0.8984989999999999,x
151,-0.298279,0.312897,0.909988,x
152,-0.318848,0.326889,0.875473,x
153,-0.32753,0.3054659999999999,0.8842770000000001,x
154,-0.350357,0.342972,0.905975,x
155,-0.365875,0.3564449999999999,0.901566,x
156,-0.368317,0.352142,0.886459,x
157,-0.366714,0.30867,0.8504639999999999,x
158,-0.390228,0.318222,0.840759,x
159,-0.400131,0.332138,0.8469540000000001,x
160,-0.401917,0.317596,0.8627319999999999,x
161,-0.3880159999999999,0.299896,0.8777159999999999,x
162,-0.366684,0.301025,0.894257,x
163,-0.345123,0.3104099999999999,0.885391,x
164,-0.339096,0.307693,0.872223,x
165,-0.33699,0.315338,0.869202,x
166,-0.347748,0.336578,0.877151,x
167,-0.3704679999999999,0.346497,0.873505,x
168,-0.393295,0.328842,0.860748,x
169,-0.407928,0.333954,0.847519,x
170,-0.397659,0.3486329999999999,0.826691,x
171,-0.38739,0.364899,0.81868,x
172,-0.370743,0.343124,0.8429110000000001,x
